Site,Richness,TOC,CurrentVariability,MeanTemperature
1,63,1.3,52.8,9.7
2,19,0.8,30,11
3,44,0.8,48.2,9.6
4,10,0.9,41.9,11.2
5,55,1.2,61.3,8.4
6,70,1.1,,11.8
7,21,0.8,34.3,10 .
8,18,0.8,17.7,12.9
9,12,0.8,28.4,8.5
10,65,1.2,38.8,10
11,5,0.7,41.4,11.5
12,4,0.6,26,10.9
13,18,0.7,47.8,12.4
14,2,0.8,12.7,12.6
15,10,0.9,50.5,11.3
16,6,0.6,14.7,8.5
17,46,1.1,34.7,12.9
18,14,1,20,11.7
19,55,1,68.4,12.4
20,10,0.6,20.7,12.1
21,7,0.7,42.2,11
22,46,0.8,35.3,11.6
23,63,1,48.9,11.5
24,4,0.6,24.5,11.7
25,5,0.8,42,10.8
