"SpeciesNames","Count"
"Regulus satrapa",25
"Poecile hudsonicus",49
"Spinus tristis",37
"Columba livia (Feral Pigeon)",13
"Plectrophenax nivalis",27
"Zonotrichia albicollis",18
"Mergus merganser",39
"Phasianus colchicus",49
"Corvus corax",52
"Cyanocitta cristata",3
"Spizelloides arborea",20
"Turdus migratorius",3
"Poecile atricapillus",2
"Haliaeetus leucocephalus",11
"Picoides pubescens",54
"Icterus bullockii/galbula",31
"Buteo jamaicensis",2
"Bonasa umbellus",40
"Zenaida macroura",59
"Corvus brachyrhynchos",15
"Haemorhous purpureus",43
"Gavia stellata",5
"Eremophila alpestris",36
"Larus marinus",24
"Pinicola enucleator",41
"Accipitridae sp.",2
"Junco hyemalis hyemalis/carolinensis",37
"Larus delawarensis",55
"Cardinalis cardinalis",4
"Melospiza melodia",34
"Dryocopus pileatus",35
"Cathartes aura",2
"Anatinae sp.",32
"Circus cyaneus",26
"Euphagus carolinus",31
"Picoides villosus",55
"Certhia americana",46
