"SpeciesNames","Count"
"Regulus satrapa",27
"Zonotrichia albicollis",40
"Eremophila alpestris",2
"Larus delawarensis",18
"Spinus tristis",12
"Picoides villosus",47
"Spizelloides arborea",9
"Corvus corax",50
"Turdus migratorius",19
"Bonasa umbellus",25
"Plectrophenax nivalis",38
"Columba livia (Feral Pigeon)",28
"Buteo jamaicensis",5
"Circus cyaneus",16
"Certhia americana",19
"Mergus merganser",4
"Cyanocitta cristata",16
"Poecile atricapillus",5
"Larus argentatus",49
"Gavia stellata",35
"Junco hyemalis hyemalis/carolinensis",60
"Haliaeetus leucocephalus",57
"Anatinae sp.",46
"Cathartes aura",37
"Phasianus colchicus",10
"Pinicola enucleator",2
"Sturnus vulgaris",5
"Quiscalus quiscula",28
