"SpeciesNames","Count"
"Cathartes aura",16
"Plectrophenax nivalis",9
"Junco hyemalis hyemalis/carolinensis",58
"Accipitridae sp.",12
"Icterus bullockii/galbula",18
"Poecile atricapillus",52
"Buteo jamaicensis",11
"Mergus merganser",42
"Haliaeetus leucocephalus",28
"Spizelloides arborea",10
"Euphagus carolinus",54
"Circus cyaneus",19
"Corvus corax",47
"Pinicola enucleator",23
"Sturnus vulgaris",54
"Cardinalis cardinalis",52
"Picoides pubescens",5
"Corvus brachyrhynchos",29
"Larus argentatus",15
"Larus marinus",9
"Zonotrichia albicollis",55
"Cyanocitta cristata",9
"Haemorhous purpureus",22
"Gavia stellata",15
"Eremophila alpestris",12
"Spinus tristis",19
"Regulus satrapa",44
"Anatinae sp.",24
"Columba livia (Feral Pigeon)",14
"Picoides villosus",2
"Zenaida macroura",46
