Province,Site,Plot,Species,Count
Ontario,Ottawa,1,Pinus strobus,11
Ontario,Ottawa,1,Acer rubrum,18
Ontario,Ottawa,1,Cornus florida,28
Ontario,Ottawa,1,Quercus alba,15
Ontario,Ottawa,1,Liriodendron tulipifera,18
Ontario,Ottawa,1,Tsuga canadensis,30
Ontario,Ottawa,2,Pinus strobus,30
Ontario,Ottawa,2,Acer rubrum,23
Ontario,Ottawa,2,Cornus florida,37
Ontario,Ottawa,2,Quercus alba,20
Ontario,Ottawa,2,Liriodendron tulipifera,31
Ontario,Ottawa,2,Tsuga canadensis,19
Ontario,Ottawa,3,Pinus strobus,4
Ontario,Ottawa,3,Acer rubrum,29
Ontario,Ottawa,3,Cornus florida,7
Ontario,Ottawa,3,Quercus alba,7
Ontario,Ottawa,3,Liriodendron tulipifera,31
Ontario,Ottawa,3,Tsuga canadensis,25
Ontario,Ottawa,4,Pinus strobus,13
Ontario,Ottawa,4,Acer rubrum,42
Ontario,Ottawa,4,Cornus florida,15
Ontario,Ottawa,4,Quercus alba,28
Ontario,Ottawa,4,Liriodendron tulipifera,14
Ontario,Ottawa,4,Tsuga canadensis,8
Ontario,Ottawa,5,Pinus strobus,31
Ontario,Ottawa,5,Acer rubrum,31
Ontario,Ottawa,5,Cornus florida,27
Ontario,Ottawa,5,Quercus alba,39
Ontario,Ottawa,5,Liriodendron tulipifera,19
Ontario,Ottawa,5,Tsuga canadensis,15
Ontario,Kingston,1,Pinus strobus,21
Ontario,Kingston,1,Acer rubrum,17
Ontario,Kingston,1,Cornus florida,20
Ontario,Kingston,1,Quercus alba,25
Ontario,Kingston,1,Liriodendron tulipifera,2
Ontario,Kingston,1,Tsuga canadensis,21
Ontario,Kingston,2,Pinus strobus,44
Ontario,Kingston,2,Acer rubrum,32
Ontario,Kingston,2,Cornus florida,33
Ontario,Kingston,2,Quercus alba,8
Ontario,Kingston,2,Liriodendron tulipifera,9
Ontario,Kingston,2,Tsuga canadensis,12
Ontario,Kingston,3,Pinus strobus,19
Ontario,Kingston,3,Acer rubrum,27
Ontario,Kingston,3,Cornus florida,25
Ontario,Kingston,3,Quercus alba,17
Ontario,Kingston,3,Liriodendron tulipifera,13
Ontario,Kingston,3,Tsuga canadensis,1
Ontario,Kingston,4,Pinus strobus,26
Ontario,Kingston,4,Acer rubrum,20
Ontario,Kingston,4,Cornus florida,25
Ontario,Kingston,4,Quercus alba,25
Ontario,Kingston,4,Liriodendron tulipifera,24
Ontario,Kingston,4,Tsuga canadensis,15
Ontario,Kingston,5,Pinus strobus,9
Ontario,Kingston,5,Acer rubrum,16
Ontario,Kingston,5,Cornus florida,26
Ontario,Kingston,5,Quercus alba,19
Ontario,Kingston,5,Liriodendron tulipifera,12
Ontario,Kingston,5,Tsuga canadensis,19
Ontario,Toronto,1,Pinus strobus,20
Ontario,Toronto,1,Acer rubrum,34
Ontario,Toronto,1,Cornus florida,17
Ontario,Toronto,1,Quercus alba,41
Ontario,Toronto,1,Liriodendron tulipifera,14
Ontario,Toronto,1,Tsuga canadensis,16
Ontario,Toronto,2,Pinus strobus,23
Ontario,Toronto,2,Acer rubrum,25
Ontario,Toronto,2,Cornus florida,29
Ontario,Toronto,2,Quercus alba,15
Ontario,Toronto,2,Liriodendron tulipifera,16
Ontario,Toronto,2,Tsuga canadensis,30
Ontario,Toronto,3,Pinus strobus,21
Ontario,Toronto,3,Acer rubrum,31
Ontario,Toronto,3,Cornus florida,32
Ontario,Toronto,3,Quercus alba,9
Ontario,Toronto,3,Liriodendron tulipifera,30
Ontario,Toronto,3,Tsuga canadensis,11
Ontario,Toronto,4,Pinus strobus,22
Ontario,Toronto,4,Acer rubrum,13
Ontario,Toronto,4,Cornus florida,21
Ontario,Toronto,4,Quercus alba,32
Ontario,Toronto,4,Liriodendron tulipifera,14
Ontario,Toronto,4,Tsuga canadensis,6
Ontario,Toronto,5,Pinus strobus,35
Ontario,Toronto,5,Acer rubrum,23
Ontario,Toronto,5,Cornus florida,22
Ontario,Toronto,5,Quercus alba,24
Ontario,Toronto,5,Liriodendron tulipifera,25
Ontario,Toronto,5,Tsuga canadensis,39
Ontario,Sudbury,1,Pinus strobus,9
Ontario,Sudbury,1,Acer rubrum,4
Ontario,Sudbury,1,Cornus florida,37
Ontario,Sudbury,1,Quercus alba,16
Ontario,Sudbury,1,Liriodendron tulipifera,15
Ontario,Sudbury,1,Tsuga canadensis,21
Ontario,Sudbury,2,Pinus strobus,14
Ontario,Sudbury,2,Acer rubrum,10
Ontario,Sudbury,2,Cornus florida,9
Ontario,Sudbury,2,Quercus alba,15
Ontario,Sudbury,2,Liriodendron tulipifera,29
Ontario,Sudbury,2,Tsuga canadensis,20
